1CPI B,Examens Semestriels ALG1,lundi,21/01/2019,12:15,14:15,02:00,2,38:00,DE-0-A3 (100); DE-0-S15 (50); DE-0-S16 (50); DE-0-S17 (50); DE-0-S18 (25); DE-0-S19 (25); DE-0-S20 (25); DE-0-S21 (25); DE-0-S4 (25); DE-0-S5 (30); DE-0-S6 (30); DE-0-S7 (25)
2CS SIQ G1,Examens Semestriels TSG,lundi,21/01/2019,12:15,14:15,02:00,2,40:00,DE-0-A4 (75);;;;;;;;;;;
2CPI B,Cours POO,lundi,21/01/2019,13:00,15:00,02:00,2,42:00,DE-0-A1 (100);;;;;;;;;;;
2CPI C,Cours PRST1,lundi,21/01/2019,13:00,15:00,02:00,2,44:00,DE-0-AP2 (125);;;;;;;;;;;
2CPI A,Cours LOGM,lundi,21/01/2019,13:00,15:00,02:00,2,46:00,DE-0-AP1 (125);;;;;;;;;;;
2CS SIT,Examens Semestriels BDA,mardi,22/01/2019,09:00,11:00,02:00,2,02:00,DE-0-A2 (100); DE-0-CYB (75); DE-0-S4 (25); DE-0-S5 (30);;;;;;;;
2CS SIQ,Examens Semestriels ANAD,mardi,22/01/2019,12:15,14:15,02:00,2,04:00,DE-0-A2 (100); DE-0-CYB (75); DE-0-S4 (25); DE-0-S5 (30);;;;;;;;
2CS SIL,Examens Semestriels PDC,mardi,22/01/2019,12:15,14:15,02:00,2,06:00,DE-0-A4 (75);;;;;;;;;;;
2CPI A,Examen de remplacement ARCH2,mardi,22/01/2019,12:15,14:15,02:00,2,08:00,;;;;;;;;;;;
2CS SIT,Examens Semestriels SIC,mardi,22/01/2019,14:30,16:30,02:00,2,10:00,DE-0-A2 (100); DE-0-CYB (75); DE-0-S4 (25); DE-0-S5 (30);;;;;;;;
2CPI C G08,Cours OPTOE,mercredi,23/01/2019,08:30,10:00,01:30,1.5,01:30,DE-0-A1 (100);;;;;;;;;;;
2CPI C G07,Cours OPTOE,mercredi,23/01/2019,08:30,10:00,01:30,1.5,03:00,DE-0-A1 (100);;;;;;;;;;;
2CPI B,Cours ANA4,mercredi,23/01/2019,08:30,10:00,01:30,1.5,04:30,DE-0-AP1 (125);;;;;;;;;;;
2CPI C G09,Cours OPTOE,mercredi,23/01/2019,08:30,10:00,01:30,1.5,06:00,DE-0-A2 (100);;;;;;;;;;;
2CPI A G02,Cours OPTOE,mercredi,23/01/2019,08:30,10:00,01:30,1.5,07:30,DE-0-A2 (100);;;;;;;;;;;
2CPI A G03,Cours OPTOE,mercredi,23/01/2019,08:30,10:00,01:30,1.5,09:00,DE-0-A1 (100);;;;;;;;;;;
2CPI A G01,Cours OPTOE,mercredi,23/01/2019,08:30,10:00,01:30,1.5,10:30,DE-0-A2 (100);;;;;;;;;;;
2CS SIQ,Examens Semestriels RESA,mercredi,23/01/2019,09:00,11:00,02:00,2,12:30,DE-0-CYB (75); DE-0-S4 (25); DE-0-S5 (30); DE-0-S6 (30);;;;;;;;
2CPI B,Examen de remplacement ALG3,mercredi,23/01/2019,10:00,12:00,02:00,2,14:30,DE-0-A4 (75);;;;;;;;;;;
2CPI C,Examen de remplacement ALG3,mercredi,23/01/2019,10:00,12:00,02:00,2,16:30,DE-0-A4 (75);;;;;;;;;;;
2CPI A,Examen de remplacement ALG3,mercredi,23/01/2019,10:00,12:00,02:00,2,18:30,DE-0-A4 (75);;;;;;;;;;;
2CPI C,Cours ANA4,mercredi,23/01/2019,10:10,12:10,02:00,2,20:30,DE-0-AP2 (125);;;;;;;;;;;
2CPI B G04,Cours OPTOE,mercredi,23/01/2019,10:10,11:40,01:30,1.5,22:00,DE-0-AP1 (125);;;;;;;;;;;
2CPI A,Cours POO,mercredi,23/01/2019,10:10,12:10,02:00,2,24:00,DE-0-A1 (100);;;;;;;;;;;
2CPI B G06,Cours OPTOE,mercredi,23/01/2019,10:10,11:40,01:30,1.5,25:30,DE-0-S10 (25);;;;;;;;;;;
2CPI B G05,Cours OPTOE,mercredi,23/01/2019,10:10,11:40,01:30,1.5,27:00,DE-0-AP1 (125);;;;;;;;;;;
2CS SIT,Examens Semestriels ANAD,mercredi,23/01/2019,12:15,14:15,02:00,2,29:00,DE-0-A2 (100); DE-0-CYB (75); DE-0-S4 (25); DE-0-S5 (30);;;;;;;;
2CS SIL,Examens Semestriels ANAD,mercredi,23/01/2019,12:15,14:15,02:00,2,31:00,DE-0-A4 (75);;;;;;;;;;;
2CPI B,Examen de remplacement ECON,mercredi,23/01/2019,13:00,15:00,02:00,2,33:00,DE-0-CP7 (25);;;;;;;;;;;
2CPI B,Cours PRST1,mercredi,23/01/2019,13:00,15:00,02:00,2,35:00,DE-0-AP2 (125);;;;;;;;;;;
2CPI C,Cours LOGM,mercredi,23/01/2019,13:00,15:00,02:00,2,37:00,DE-0-AP1 (125);;;;;;;;;;;
2CPI C,Examen de remplacement ECON,mercredi,23/01/2019,13:00,15:00,02:00,2,39:00,DE-0-CP7 (25);;;;;;;;;;;
2CPI A,Cours SINF,mercredi,23/01/2019,13:00,15:00,02:00,2,41:00,DE-0-A1 (100);;;;;;;;;;;
2CPI A,Examen de remplacement ECON,mercredi,23/01/2019,13:00,15:00,02:00,2,43:00,DE-0-CP7 (25);;;;;;;;;;;
2CPI B,Cours POO,jeudi,24/01/2019,08:30,10:00,01:30,1.5,01:30,DE-0-A1 (100);;;;;;;;;;;
2CPI C,Cours SINF,jeudi,24/01/2019,08:30,10:30,02:00,2,03:30,DE-0-AP2 (125);;;;;;;;;;;
2CPI A,Cours PRST1,jeudi,24/01/2019,08:30,10:30,02:00,2,05:30,DE-0-AP1 (125);;;;;;;;;;;
2CS SIQ,Examens Semestriels TPGO,jeudi,24/01/2019,09:00,11:00,02:00,2,07:30,DE-0-CYB (75); DE-0-S4 (25); DE-0-S5 (30); DE-0-S6 (30);;;;;;;;
2CS SIT,Examens Semestriels SIAD,jeudi,24/01/2019,09:00,11:00,02:00,2,09:30,DE-0-A2 (100); DE-0-A3 (100); DE-0-S15 (50); DE-0-S16 (50);;;;;;;;
2CS SIL,Examens Semestriels TPGO,jeudi,24/01/2019,09:00,11:00,02:00,2,11:30,DE-0-A4 (75);;;;;;;;;;;
2CPI B,Cours LOGM,jeudi,24/01/2019,10:10,12:10,02:00,2,13:30,DE-0-A1 (100);;;;;;;;;;;
2CPI C,Cours LOGM,jeudi,24/01/2019,10:40,12:10,01:30,1.5,15:00,DE-0-AP2 (125);;;;;;;;;;;
2CPI A,Cours ANA4,jeudi,24/01/2019,10:40,12:10,01:30,1.5,16:30,DE-0-AP1 (125);;;;;;;;;;;
2CPI B,Cours SINF,jeudi,24/01/2019,13:00,15:00,02:00,2,18:30,DE-0-A1 (100);;;;;;;;;;;
2CPI C,Cours POO,jeudi,24/01/2019,13:00,15:00,02:00,2,20:30,DE-0-AP2 (125);;;;;;;;;;;
2CPI A,Cours LOGM,jeudi,24/01/2019,13:00,14:30,01:30,1.5,22:00,DE-0-AP1 (125);;;;;;;;;;;
2CS SIL,Examens Semestriels TDW,jeudi,24/01/2019,14:30,16:30,02:00,2,24:00,DE-0-A4 (75);;;;;;;;;;;
2CS SIT G3,Examens Semestriels TDW,jeudi,24/01/2019,14:30,16:30,02:00,2,26:00,DE-0-A3 (100); DE-0-S17 (50);;;;;;;;;;
1CS A,Cours SYC2,dimanche,27/01/2019,08:30,10:30,02:00,2,02:00,DE-0-A3 (100);;;;;;;;;;;
2CPI B,Cours ANA4,dimanche,27/01/2019,08:30,10:00,01:30,1.5,03:30,;;;;;;;;;;;
2CPI C,Cours PRST2,dimanche,27/01/2019,08:30,10:30,02:00,2,05:30,DE-0-AP2 (125);;;;;;;;;;;
2CPI A,Cours SINF,dimanche,27/01/2019,08:30,10:00,01:30,1.5,07:00,DE-0-A4 (75);;;;;;;;;;;
1CS B,Cours ARCH,dimanche,27/01/2019,08:30,10:30,02:00,2,09:00,DE-0-AP1 (125);;;;;;;;;;;
2CS SIT,Examens Semestriels PGI,dimanche,27/01/2019,09:00,11:00,02:00,2,11:00,DE-0-CYB (75); DE-0-S4 (25); DE-0-S5 (30); DE-0-S6 (30); DE-0-S7 (25);;;;;;;
2CPI B,Cours POO,dimanche,27/01/2019,10:10,12:10,02:00,2,13:00,DE-0-A1 (100);;;;;;;;;;;
2CPI A,Cours LOGM,dimanche,27/01/2019,10:10,12:10,02:00,2,15:00,DE-0-A2 (100);;;;;;;;;;;
2CPI C G08,TD ANA4,dimanche,27/01/2019,10:40,12:10,01:30,1.5,16:30,DE-0-S11 (25);;;;;;;;;;;
2CPI C G07,TD SINF,dimanche,27/01/2019,10:40,12:10,01:30,1.5,18:00,DE-0-S13 (25);;;;;;;;;;;
1CS A,CPRJ,dimanche,27/01/2019,10:40,12:40,02:00,2,20:00,DE-0-AP1 (125);;;;;;;;;;;
2CPI C G09,TD ANA4,dimanche,27/01/2019,10:40,12:10,01:30,1.5,21:30,DE-0-S14 (25);;;;;;;;;;;
1CS B,Cours MACSI,dimanche,27/01/2019,10:40,12:40,02:00,2,23:30,DE-0-A3 (100);;;;;;;;;;;
2CS SIQ,Examens Semestriels COMP,dimanche,27/01/2019,12:15,14:15,02:00,2,25:30,DE-0-CYB (75); DE-0-S4 (25); DE-0-S5 (30); DE-0-S6 (30);;;;;;;;
2CS SIL,Examens Semestriels COMP,dimanche,27/01/2019,12:15,14:15,02:00,2,27:30,DE-0-A4 (75);;;;;;;;;;;
2CPI C G08,Consultation ANA3,dimanche,27/01/2019,12:30,13:00,00:30,0.5,28:00,DE-0-AP2 (125);;;;;;;;;;;
2CPI C G07,Consultation ANA3,dimanche,27/01/2019,12:30,13:00,00:30,0.5,28:30,DE-0-AP2 (125);;;;;;;;;;;
1CPI A,Cours ANA2,dimanche,27/01/2019,13:00,14:30,01:30,1.5,30:00,DE-0-AP1 (125);;;;;;;;;;;
2CPI C G09,TD/TP POO,dimanche,27/01/2019,13:00,16:10,03:10,3.17,33:10,DE-0-CP7 (25);;;;;;;;;;;
2CPI A G02,TD ANG3,dimanche,27/01/2019,13:00,15:00,02:00,2,35:10,DE-0-CP8 (25);;;;;;;;;;;
1CPI C,Cours SYS2,dimanche,27/01/2019,13:00,14:30,01:30,1.5,36:40,DE-0-A3 (100);;;;;;;;;;;
2CPI A G03,TD PRST2,dimanche,27/01/2019,13:00,15:00,02:00,2,38:40,DE-0-S8 (25);;;;;;;;;;;
2CPI B G04,TD LOGM,dimanche,27/01/2019,13:00,15:00,02:00,2,40:40,DE-0-S16 (50);;;;;;;;;;;
2CPI B G06,TD PRST2,dimanche,27/01/2019,13:00,15:00,02:00,2,42:40,DE-0-S12 (25);;;;;;;;;;;
2CPI B G05,TD ANA4,dimanche,27/01/2019,13:00,14:30,01:30,1.5,44:10,DE-0-S11 (25);;;;;;;;;;;
1CPI B,Cours ELECF1,dimanche,27/01/2019,13:00,14:30,01:30,1.5,45:40,DE-0-A2 (100);;;;;;;;;;;
2CPI C G08,Cours OPTOE,dimanche,27/01/2019,13:30,15:00,01:30,1.5,47:10,DE-0-A1 (100);;;;;;;;;;;
2CPI C G07,Cours OPTOE,dimanche,27/01/2019,13:30,15:00,01:30,1.5,48:40,DE-0-A1 (100);;;;;;;;;;;
2CPI A G01,TD ANA4,dimanche,27/01/2019,13:30,15:00,01:30,1.5,50:10,DE-0-S13 (25);;;;;;;;;;;
2CS SIT,Examens Semestriels AQUA,dimanche,27/01/2019,14:30,16:30,02:00,2,52:10,DE-0-CYB (75); DE-0-S4 (25); DE-0-S5 (30); DE-0-S6 (30); DE-0-S7 (25);;;;;;;
1CPI A,Cours ELECF1,dimanche,27/01/2019,14:40,16:10,01:30,1.5,53:40,DE-0-AP1 (125);;;;;;;;;;;
1CPI C,Cours ANA2,dimanche,27/01/2019,14:40,16:10,01:30,1.5,55:10,DE-0-A3 (100);;;;;;;;;;;
2CPI B G05,TD SINF,dimanche,27/01/2019,14:40,16:10,01:30,1.5,56:40,DE-0-S4B (30);;;;;;;;;;;
1CPI B,Cours ALG2,dimanche,27/01/2019,14:40,16:10,01:30,1.5,58:10,DE-0-A2 (100);;;;;;;;;;;
2CPI C G08,TD ANG3,dimanche,27/01/2019,15:10,17:10,02:00,2,60:10,DE-0-CP9 (25);;;;;;;;;;;
2CPI C G07,TD ANA4,dimanche,27/01/2019,15:10,16:40,01:30,1.5,61:40,DE-0-CP4 (25);;;;;;;;;;;
2CPI A G02,TD PRST2,dimanche,27/01/2019,15:10,17:10,02:00,2,63:40,DE-0-CP3 (25);;;;;;;;;;;
2CPI A G03,Cours OPTOE,dimanche,27/01/2019,15:10,16:40,01:30,1.5,65:10,DE-0-A1 (100);;;;;;;;;;;
2CPI B G04,TD ANA4,dimanche,27/01/2019,15:10,16:40,01:30,1.5,66:40,DE-0-S8 (25);;;;;;;;;;;
2CPI B G06,Cours OPTOE,dimanche,27/01/2019,15:10,16:40,01:30,1.5,68:10,DE-0-A1 (100);;;;;;;;;;;
2CPI A G01,TD PRST1,dimanche,27/01/2019,15:10,17:10,02:00,2,70:10,DE-0-S15 (50);;;;;;;;;;;
1CPI A,Cours ALG2,lundi,28/01/2019,08:30,10:30,02:00,2,02:00,DE-0-AP1 (125);;;;;;;;;;;
2CPI A G02,Cours OPTOE,lundi,28/01/2019,08:30,10:00,01:30,1.5,03:30,DE-0-A1 (100);;;;;;;;;;;
1CPI C,Cours ELECF1,lundi,28/01/2019,08:30,10:30,02:00,2,05:30,DE-0-A3 (100);;;;;;;;;;;
2CPI C,Cours ANA4,lundi,28/01/2019,08:30,10:00,01:30,1.5,07:00,DE-0-A2 (100);;;;;;;;;;;
2CPI B G06,TD ANA4,lundi,28/01/2019,08:30,10:00,01:30,1.5,08:30,DE-0-S11 (25);;;;;;;;;;;
2CPI B G05,TD PRST2,lundi,28/01/2019,08:30,10:30,02:00,2,10:30,DE-0-S15 (50);;;;;;;;;;;
1CPI B,Cours ANA2,lundi,28/01/2019,08:30,10:30,02:00,2,12:30,DE-0-AP2 (125);;;;;;;;;;;
2CPI A G01,Cours OPTOE,lundi,28/01/2019,08:30,10:00,01:30,1.5,14:00,DE-0-A1 (100);;;;;;;;;;;
2CS SIQ,Examens Semestriels FAS,lundi,28/01/2019,09:00,11:00,02:00,2,16:00,DE-0-CYB (75); DE-0-S4 (25); DE-0-S5 (30); DE-0-S6 (30);;;;;;;;
2CPI A G03,TD/TP POO,lundi,28/01/2019,09:00,12:10,03:10,3.17,19:10,DE-0-CP1 (25);;;;;;;;;;;
2CS SIL,Examens Semestriels OUTIL,lundi,28/01/2019,09:00,11:00,02:00,2,21:10,DE-0-A4 (75);;;;;;;;;;;
2CPI B G04,TD SINF,lundi,28/01/2019,09:00,10:30,01:30,1.5,22:40,DE-0-S9 (25);;;;;;;;;;;
2CPI A G02,TD ANA4,lundi,28/01/2019,10:10,11:40,01:30,1.5,24:10,DE-0-S12 (25);;;;;;;;;;;
2CPI C,Cours POO,lundi,28/01/2019,10:10,12:10,02:00,2,26:10,DE-0-A2 (100);;;;;;;;;;;
2CPI B G06,TD LOGM,lundi,28/01/2019,10:10,12:10,02:00,2,28:10,DE-0-CP5 (25);;;;;;;;;;;
2CPI A G01,TD LOGM,lundi,28/01/2019,10:10,12:10,02:00,2,30:10,DE-0-S11 (25);;;;;;;;;;;
2CPI B G04,Cours OPTOE,lundi,28/01/2019,10:40,12:10,01:30,1.5,31:40,DE-0-A1 (100);;;;;;;;;;;
2CPI B G05,Cours OPTOE,lundi,28/01/2019,10:40,12:10,01:30,1.5,33:10,DE-0-A1 (100);;;;;;;;;;;
1CPI B,Cours MECA,lundi,28/01/2019,10:40,12:10,01:30,1.5,34:40,DE-0-AP2 (125);;;;;;;;;;;
2CPI A G02,Consultation PRST1,lundi,28/01/2019,11:45,12:00,00:15,0.25,34:55,DE-0-S12 (25);;;;;;;;;;;
2CS SIT,Examens Semestriels ASI,lundi,28/01/2019,12:15,14:15,02:00,2,36:55,DE-0-CYB (75); DE-0-S4 (25); DE-0-S5 (30); DE-0-S6 (30); DE-0-S7 (25);;;;;;;
2CPI C G07,TD PRST2,lundi,28/01/2019,13:00,15:00,02:00,2,38:55,DE-0-S16 (50);;;;;;;;;;;
1CS A,Cours RES2,lundi,28/01/2019,13:00,14:30,01:30,1.5,40:25,DE-0-AP1 (125);;;;;;;;;;;
1CPI A,Cours BWEB,lundi,28/01/2019,13:00,15:00,02:00,2,42:25,DE-0-A2 (100);;;;;;;;;;;
2CPI C G09,TD PRST2,lundi,28/01/2019,13:00,15:00,02:00,2,44:25,DE-0-S11 (25);;;;;;;;;;;
2CPI A G02,TD/TP POO,lundi,28/01/2019,13:00,16:10,03:10,3.17,47:35,DE-0-CP7 (25);;;;;;;;;;;
2CPI B G04,TD ANG3,lundi,28/01/2019,13:00,15:00,02:00,2,49:35,DE-0-CP9 (25);;;;;;;;;;;
1CS B,Cours SEC,lundi,28/01/2019,13:00,14:30,01:30,1.5,51:05,DE-0-AP2 (125);;;;;;;;;;;
2CPI B G05,TD ANG3,lundi,28/01/2019,13:00,15:00,02:00,2,53:05,DE-0-CP1 (25);;;;;;;;;;;
2CPI A G01,TD/TP POO,lundi,28/01/2019,13:00,16:10,03:10,3.17,56:15,DE-0-CP8 (25);;;;;;;;;;;
2CPI C G08,TD ANA4,lundi,28/01/2019,13:30,15:00,01:30,1.5,57:45,DE-0-S12 (25);;;;;;;;;;;
2CPI A G03,Cours OPTOE,lundi,28/01/2019,13:30,15:00,01:30,1.5,59:15,DE-0-A1 (100);;;;;;;;;;;
2CPI B G06,Cours OPTOE,lundi,28/01/2019,13:30,15:00,01:30,1.5,60:45,DE-0-A1 (100);;;;;;;;;;;
1CS A,Cours SEC,lundi,28/01/2019,14:40,16:10,01:30,1.5,62:15,DE-0-AP2 (125);;;;;;;;;;;
1CS B,Cours RES2,lundi,28/01/2019,14:40,16:10,01:30,1.5,63:45,DE-0-AP1 (125);;;;;;;;;;;
2CPI C G08,Cours OPTOE,lundi,28/01/2019,15:10,16:40,01:30,1.5,65:15,DE-0-A1 (100);;;;;;;;;;;
2CPI C G07,Cours OPTOE,lundi,28/01/2019,15:10,16:40,01:30,1.5,66:45,DE-0-A1 (100);;;;;;;;;;;
2CPI C G09,TD LOGM,lundi,28/01/2019,15:10,17:10,02:00,2,68:45,DE-0-S11 (25);;;;;;;;;;;
2CPI A G03,TD LOGM,lundi,28/01/2019,15:10,17:10,02:00,2,70:45,DE-0-S6 (30);;;;;;;;;;;
2CPI B G04,TD PRST2,lundi,28/01/2019,15:10,17:10,02:00,2,72:45,DE-0-S5 (30);;;;;;;;;;;
2CPI B G06,TD ANG3,lundi,28/01/2019,15:10,17:10,02:00,2,74:45,DE-0-CP2 (25);;;;;;;;;;;
2CPI B G05,TD LOGM,lundi,28/01/2019,15:10,17:10,02:00,2,76:45,DE-0-S12 (25);;;;;;;;;;;
1CS A,Cours ARCH,mardi,29/01/2019,08:30,10:30,02:00,2,02:00,DE-0-A3 (100);;;;;;;;;;;
1CPI A,Cours ANA2,mardi,29/01/2019,08:30,10:30,02:00,2,04:00,DE-0-AP1 (125);;;;;;;;;;;
2CPI B,PROJET 2CP,mardi,29/01/2019,08:30,12:30,04:00,4,08:00,DE-0-CP1 (25); DE-0-CP2 (25); DE-0-CP3 (25); DE-0-CP4 (25); DE-0-S4B (30); DPGR-0-DPGR1 (25); DPGR-0-DPGR2 (30);;;;;
1CPI C,Cours ALSDD,mardi,29/01/2019,08:30,10:30,02:00,2,10:00,DE-0-A2 (100);;;;;;;;;;;
2CPI C,PROJET 2CP,mardi,29/01/2019,08:30,12:30,04:00,4,14:00,DE-0-CP1 (25); DE-0-CP2 (25); DE-0-CP3 (25); DE-0-CP4 (25); DE-0-S4B (30); DPGR-0-DPGR1 (25); DPGR-0-DPGR2 (30);;;;;
2CPI A,PROJET 2CP,mardi,29/01/2019,08:30,12:30,04:00,4,18:00,DE-0-CP1 (25); DE-0-CP2 (25); DE-0-CP3 (25); DE-0-CP4 (25); DE-0-S4B (30); DPGR-0-DPGR1 (25); DPGR-0-DPGR2 (30);;;;;
1CS B,Cours RES2,mardi,29/01/2019,08:30,10:00,01:30,1.5,19:30,DE-0-AP2 (125);;;;;;;;;;;
1CPI B,Cours ELECF1,mardi,29/01/2019,08:30,10:30,02:00,2,21:30,DE-0-A1 (100);;;;;;;;;;;
2CS SIT,Examens Semestriels SIG,mardi,29/01/2019,09:00,11:00,02:00,2,23:30,DE-0-A4 (75); DE-0-S4 (25); DE-0-S5 (30); DE-0-S6 (30); DE-0-S7 (25);;;;;;;
2CS SIL G02,Examens Semestriels SIGA,mardi,29/01/2019,09:00,11:00,02:00,2,25:30,DE-0-S20 (25);;;;;;;;;;;
2CS SIL G02,Examens Semestriels SIGA,mardi,29/01/2019,09:00,11:00,02:00,2,27:30,DE-0-S19 (25);;;;;;;;;;;
2CS SIQ G4,Examens Semestriels VCL,mardi,29/01/2019,09:00,11:00,02:00,2,29:30,DE-0-CYB (75);;;;;;;;;;;
